zip_code,access_score,quality_score,insurance_score,healthcare_score
10305,17.868041479046077,0.0,86.9,24.527216591618433
10306,0.0,36.37387387296452,88.7,32.289549549185814
10307,0.0,36.37387387296452,90.3,32.60954954918581
10308,0.0,36.37387387296452,90.7,32.68954954918581
10309,0.0,36.37387387296452,90.0,32.54954954918581
10310,23.543574425763996,0.0,84.2,26.2574297703056
10312,0.0,36.37387387296452,90.4,32.62954954918581
10314,0.0,36.37387387296452,88.7,32.289549549185814
10451,16.945301464508784,0.0,74.5,21.678120585803512
10452,0.0,36.37387387296452,72.1,28.96954954918581
10453,0.0,36.37387387296452,72.1,28.96954954918581
10454,0.0,36.37387387296452,68.5,28.24954954918581
10455,0.0,36.37387387296452,69.7,28.48954954918581
10456,11.226092050788358,0.0,73.3,19.150436820315342
10457,12.909434705389378,0.0,71.7,19.503773882155755
10458,0.0,36.37387387296452,73.6,29.26954954918581
10459,0.0,36.37387387296452,71.6,28.869549549185813
10460,0.0,36.37387387296452,71.9,28.929549549185815
10461,15.96165659964287,0.0,83.2,23.024662639857148
10462,0.0,36.37387387296452,81.2,30.789549549185814
10463,0.0,36.37387387296452,82.2,30.98954954918581
10464,0.0,36.37387387296452,90.7,32.68954954918581
10465,0.0,36.37387387296452,84.6,31.469549549185807
10466,0.0,36.37387387296452,83.1,31.16954954918581
10467,10.351728065868157,24.999999999375,78.2,29.780691226097264
10468,0.0,36.37387387296452,72.8,29.10954954918581
10469,0.0,36.37387387296452,83.8,31.30954954918581
10470,0.0,36.37387387296452,85.9,31.729549549185812
10471,0.0,36.37387387296452,89.9,32.52954954918581
10472,0.0,36.37387387296452,72.5,29.049549549185812
10473,0.0,36.37387387296452,77.4,30.029549549185813
10474,0.0,36.37387387296452,70.1,28.56954954918581
10475,0.0,36.37387387296452,84.9,31.52954954918581
10501,0.0,36.37387387296452,92.7,33.08954954918581
10502,0.0,36.37387387296452,93.5,33.24954954918581
10503,0.0,36.37387387296452,94.8,33.50954954918581
10504,0.0,36.37387387296452,94.7,33.48954954918581
10505,0.0,36.37387387296452,92.4,33.02954954918581
10506,0.0,36.37387387296452,94.0,33.34954954918581
10507,0.0,36.37387387296452,87.0,31.94954954918581
10509,0.0,36.37387387296452,88.9,32.32954954918581
10510,0.0,36.37387387296452,93.5,33.24954954918581
10511,0.0,36.37387387296452,89.0,32.34954954918581
10512,23.25365250952139,49.99999999875,90.0,47.30146100330856
10514,0.0,36.37387387296452,94.6,33.46954954918581
10516,0.0,36.37387387296452,92.8,33.10954954918581
10517,0.0,36.37387387296452,89.4,32.429549549185815
10518,0.0,36.37387387296452,94.4,33.429549549185815
10519,0.0,36.37387387296452,91.7,32.88954954918581
10520,0.0,36.37387387296452,91.8,32.90954954918581
10522,0.0,36.37387387296452,92.3,33.00954954918581
10523,0.0,36.37387387296452,85.6,31.66954954918581
10524,0.0,36.37387387296452,91.8,32.90954954918581
10526,0.0,36.37387387296452,92.6,33.06954954918581
10527,0.0,36.37387387296452,92.9,33.12954954918581
10528,0.0,36.37387387296452,91.1,32.76954954918581
10530,0.0,36.37387387296452,92.7,33.08954954918581
10532,0.0,36.37387387296452,90.6,32.66954954918581
10533,0.0,36.37387387296452,93.5,33.24954954918581
10535,0.0,36.37387387296452,91.2,32.789549549185814
10536,0.0,36.37387387296452,93.3,33.20954954918581
10537,0.0,36.37387387296452,90.4,32.62954954918581
10538,0.0,36.37387387296452,94.1,33.36954954918581
10541,0.0,36.37387387296452,90.7,32.68954954918581
10543,0.0,36.37387387296452,88.2,32.18954954918581
10545,0.0,36.37387387296452,93.5,33.24954954918581
10546,0.0,36.37387387296452,94.0,33.34954954918581
10547,0.0,36.37387387296452,89.8,32.50954954918581
10548,0.0,36.37387387296452,90.8,32.70954954918581
10549,28.465701151001426,99.9999999975,87.0,68.78628045940057
10550,19.09366337266336,36.37387387296452,82.9,38.76701489825116
10552,0.0,36.37387387296452,88.4,32.22954954918581
10553,0.0,36.37387387296452,85.8,31.70954954918581
10560,0.0,36.37387387296452,92.5,33.04954954918581
10562,0.0,36.37387387296452,83.4,31.229549549185812
10566,0.0,36.37387387296452,81.8,30.90954954918581
10567,26.234181838241767,49.99999999875,90.9,48.67367273479671
10570,0.0,36.37387387296452,92.5,33.04954954918581
10573,0.0,36.37387387296452,79.8,30.509549549185813
10576,0.0,36.37387387296452,94.4,33.429549549185815
10577,0.0,36.37387387296452,90.2,32.58954954918581
10578,0.0,36.37387387296452,92.0,32.94954954918581
10579,0.0,36.37387387296452,91.3,32.80954954918581
10580,0.0,36.37387387296452,93.7,33.289549549185814
10583,0.0,36.37387387296452,94.1,33.36954954918581
10588,0.0,36.37387387296452,90.5,32.649549549185814
10589,0.0,36.37387387296452,93.6,33.26954954918581
10590,0.0,36.37387387296452,94.0,33.34954954918581
10591,24.749377287308526,49.99999999875,85.9,47.079750914423414
10594,0.0,36.37387387296452,91.8,32.90954954918581
10595,37.71887599770839,0.0,87.1,32.50755039908336
10596,0.0,36.37387387296452,90.1,32.56954954918581
10597,0.0,36.37387387296452,94.6,33.46954954918581
10598,0.0,36.37387387296452,92.2,32.98954954918581
10601,33.348203680989506,99.9999999975,85.9,70.51928147139581
10603,0.0,36.37387387296452,88.9,32.32954954918581
10604,0.0,36.37387387296452,88.0,32.149549549185814
10605,0.0,36.37387387296452,89.9,32.52954954918581
10606,0.0,36.37387387296452,82.2,30.98954954918581
10607,0.0,36.37387387296452,87.9,32.12954954918581
10701,20.81945907992081,12.4999999996875,78.7,29.067783631843326
10703,0.0,36.37387387296452,82.6,31.06954954918581
10704,0.0,36.37387387296452,87.5,32.04954954918581
10705,0.0,36.37387387296452,78.0,30.149549549185814
10706,0.0,36.37387387296452,93.7,33.289549549185814
10707,0.0,36.37387387296452,91.7,32.88954954918581
10708,0.0,36.37387387296452,91.9,32.929549549185815
10709,0.0,36.37387387296452,92.4,33.02954954918581
10710,0.0,36.37387387296452,88.8,32.30954954918581
