zip_code,lat,lng,housing_value,housing_score
10511,41.26302,-73.94391,558566.7164,91.26199969390555
10512,41.4483,-73.71054,485006.6723,92.52307494071503
10514,41.17331,-73.77071,1382948.132,77.12923224029113
10516,41.45342,-73.90233,701949.8608,88.80391342676383
10517,41.29837,-73.86013,464567.0995565022,92.87348037558868
10518,41.26787,-73.60073,464567.0995565022,92.87348037558868
10519,41.34701,-73.66196,464567.0995565022,92.87348037558868
10520,41.22183,-73.87348,779978.4793,87.4662312579043
10522,41.01221,-73.8646,938126.5241,84.75502319558345
10523,41.06005,-73.81859,677939.5269,89.21553413905919
10524,41.37076,-73.92201,731259.7149,88.30144048856302
10526,41.29388,-73.66171,736427.9539,88.21283887946618
10527,41.3195,-73.76502,871978.555,85.889029672596
10528,40.97819,-73.72306,1334770.257,77.95516874358887
10530,41.02304,-73.80764,704168.8791,88.76587172784174
10532,41.09873,-73.80066,783632.625,87.40358647911323
10533,41.03826,-73.8556,1196318.676,80.32871084537695
10535,41.33536,-73.79965,464567.0995565022,92.87348037558868
10536,41.26971,-73.68943,1067830.048,82.53145324785618
10537,41.33784,-73.88528,413567.6792,93.74778798918646
10538,40.9376,-73.75707,1603848.571,73.34222967605194
10540,41.32575,-73.72745,464567.0995565022,92.87348037558868
10541,41.37855,-73.75122,601408.965,90.52753440248088
10542,41.37115,-73.76436,464567.0995565022,92.87348037558868
10543,40.95274,-73.73645,1009037.514,83.53936196014317
10545,41.17861,-73.83547,464567.0995565022,92.87348037558868
10546,41.19472,-73.8002,915401.2522,85.14461347140147
10547,41.31178,-73.84637,565918.2893,91.13596814073381
10548,41.24599,-73.93643,582157.1185,90.85757807460703
10549,41.19981,-73.72028,899365.6313,85.41951983981963
10550,40.90627,-73.8351,550699.3366,91.39687397306642
10552,40.92376,-73.82497,521981.6228,91.88919556505604
10553,40.90858,-73.82161,572753.7483,91.01878457659996
10560,41.33303,-73.60264,809065.4445,86.96757941141188
10562,41.19295,-73.8305,640873.5972,89.85097321493993
10566,41.28924,-73.91837,512595.5695,92.05010519509614
10567,41.28922,-73.89633,641020.3319,89.84845767134175
10570,41.12854,-73.78917,979355.8837,84.04820843670856
10573,41.01676,-73.67735,846432.9546,86.32697019755724
10576,41.21323,-73.57289,1358290.319,77.55195299848542
10577,41.03755,-73.71349,2134662.529,64.24223046744937
10578,41.31815,-73.673,642853.8536,89.81702472620627
10579,41.39651,-73.83384,598184.9337,90.58280552306152
10580,40.97854,-73.69258,2160966.64,63.791286430135656
10583,40.98916,-73.79443,1461804.544,75.77735880897258
10588,41.33222,-73.82624,594443.5572,90.6469457414487
10589,41.33178,-73.6933,661185.3187,89.50275959547939
10590,41.25421,-73.53719,905405.5481,85.31597463858355
10591,41.08436,-73.84653,860629.6088,86.0835901205307
10594,41.11579,-73.771,881808.3668,85.7205124769711
10595,41.08626,-73.78097,847823.4192,86.30313279356872
10596,41.25552,-73.95854,480945.7419,92.59269342543881
10597,41.29423,-73.59703,1537836.941,74.4738988262414
10598,41.28309,-73.79516,688574.0791,89.03322089136603
10601,41.03288,-73.7648,456545.3361,93.01100132809118
10603,41.05364,-73.78014,655124.0163,89.60667142035099
10604,41.06013,-73.73955,919394.2466,85.07615964622916
10605,41.0095,-73.74518,970938.6046,84.19250990428337
10606,41.02065,-73.77588,768806.8107,87.65775255060318
10607,41.03949,-73.81214,797130.2422,87.17219032988459
10701,40.94702,-73.88034,599091.1944,90.56726905961987
10703,40.95765,-73.88114,600740.5347,90.53899362488701
10704,40.91911,-73.86187,643261.7805,89.81003143898911
10705,40.91929,-73.88928,683848.0188,89.11424201814998
10706,40.99047,-73.86951,1038392.484,83.03611557835049
10707,40.95961,-73.82291,880202.7117,85.74803899529088
10708,40.9379,-73.83167,935353.4667,84.8025630535037
10709,40.95337,-73.80885,960039.8441,84.3793526020497
10710,40.96732,-73.84739,735754.8723,88.22437784134729
10801,40.91751,-73.78396,755266.3792,87.88988268598695
10803,40.89978,-73.80619,1298393.189,78.57879833173787
10804,40.94914,-73.78629,1181199.912,80.587899094596
10805,40.89593,-73.78028,556224.0846,91.30216055856398
10901,41.14554,-74.12504,762679.9842,87.7627876866635
10910,41.2773,-74.13625,464567.0995565022,92.87348037558868
10911,41.30798,-73.99243,464567.0995565022,92.87348037558868
10913,41.06845,-73.95574,784940.4252,87.38116623072743
10914,41.41671,-74.20087,617491.6162,90.25182177099006
10915,41.54022,-74.35714,464567.0995565022,92.87348037558868
10916,41.44881,-74.24311,589519.5782,90.73135988378212
10917,41.31851,-74.11094,559728.4,91.2420843927321
10918,41.34816,-74.25828,516982.8338,91.97489221123197
10919,41.52836,-74.38327,471859.4755,92.74846366433889
10920,41.15477,-73.9393,652961.6976,89.64374109073586
10921,41.3292,-74.3651,458720.3873,92.97371337832956
10922,41.32794,-73.99604,448786.2812,93.1440185413452
10923,41.20265,-74.00031,599873.1289,90.55386398007376
10924,41.3788,-74.3512,549047.7093,91.42518861494119
10925,41.20076,-74.29535,403258.9951,93.92451472317286
10926,41.25856,-74.1307,364256.367,94.59315555202502
10927,41.19263,-73.96735,450677.8669,93.11159017710652
10928,41.3457,-74.00265,414110.7196,93.73847838619702
10930,41.3667,-74.11035,533275.6995,91.69557577137327
10931,41.12769,-74.17012,477822.4804,92.64623700082885
10932,41.482,-74.46352,464567.0995565022,92.87348037558868
10933,41.36527,-74.51106,464567.0995565022,92.87348037558868
10940,41.45149,-74.46997,388632.3792,94.1752658406002
10941,41.48923,-74.34556,439961.3847,93.29530799022967
10950,41.31919,-74.19825,535939.0603,91.64991649507326
10952,41.11385,-74.07975,1084171.052,82.25131154994746
10953,41.40581,-74.07783,464567.0995565022,92.87348037558868
10954,41.09969,-74.01269,619663.4793,90.21458847636146
10956,41.15562,-73.99314,782197.639,87.42818713489395
10958,41.3764,-74.42881,475062.1154,92.69355926682596
10960,41.08892,-73.92642,742238.8477,88.11321992976765
10962,41.04857,-73.96057,726897.2077,88.37622904954416
