zip_code,tax_rate,tax_score
10177,0.0,76.11691428323498
10178,0.0,76.11691428323498
10179,0.0,76.11691428323498
10180,0.0,76.11691428323498
10181,0.0,76.11691428323498
10182,0.0,76.11691428323498
10183,0.0,76.11691428323498
10184,0.0,76.11691428323498
10185,0.0,76.11691428323498
10186,0.0,76.11691428323498
10187,0.0,76.11691428323498
10188,0.0,76.11691428323498
10189,0.0,76.11691428323498
10190,0.0,76.11691428323498
10191,0.0,76.11691428323498
10192,0.0,76.11691428323498
10193,0.0,76.11691428323498
10194,0.0,76.11691428323498
10195,0.0,76.11691428323498
10196,0.0,76.11691428323498
10197,0.0,76.11691428323498
10198,0.0,76.11691428323498
10199,0.0,76.11691428323498
10200,0.0,76.11691428323498
10201,0.0,76.11691428323498
10202,0.0,76.11691428323498
10203,0.0,76.11691428323498
