zip_code,lat,lng,housing_score,tax_score,healthcare_score,overall_score
10532,41.09873,-73.80066,87.40358648,80.52825553,32.66954955,72.00124450999999
10533,41.03826,-73.8556,80.32871085,59.48675949,33.24954955,63.34843268499999
10535,41.33536,-73.79965,92.87348038,76.11691428,32.78954955,73.66335614750001
10536,41.26971,-73.68943,82.53145325,60.41992406,33.20954955,64.6730950275
10537,41.33784,-73.88528,93.74778799,76.11691428,32.62954955,74.0605099525
10538,40.9376,-73.75707,73.34222968,70.81081081,33.36954955,62.71620493
10540,41.32575,-73.72745,92.87348038,76.11691428,0.0,65.46596876000001
10541,41.37855,-73.75122,90.5275344,75.64496314,32.68954955,72.34739537249999
10542,41.37115,-73.76436,92.87348038,76.11691428,0.0,65.46596876000001
10543,40.95274,-73.73645,83.53936196,76.57002457,32.18954955,68.95957451
10545,41.17861,-73.83547,92.87348038,76.11691428,33.24954955,73.7783561475
10546,41.19472,-73.8002,85.14461347,100.0,33.34954955,75.9096941225
10547,41.31178,-73.84637,91.13596814,78.82063882,32.50954955,73.40053116249999
10548,41.24599,-73.93643,90.85757807,50.85995086,32.70954955,66.3211641375
10549,41.19981,-73.72028,85.41951984,80.18603019,68.78628046,79.9528375825
10550,40.90627,-73.8351,91.39687397,96.37819638,38.7670149,79.484739805
10552,40.92376,-73.82497,91.88919557,88.16171543,32.22954955,76.04241403
10553,40.90858,-73.82161,91.01878458,93.77559378,31.70954955,76.8806781225
10560,41.33303,-73.60264,86.96757941,77.46577747,33.04954955,71.11262146
10562,41.19295,-73.8305,89.85097321,82.46374717,31.22954955,73.34881078500001
10566,41.28924,-73.91837,92.0501052,91.53118302,30.90954955,76.6352357425
10567,41.28922,-73.89633,89.84845767,68.8984439,48.67367273,74.3172579925
10570,41.12854,-73.78917,84.04820844,70.9020709,33.04954955,68.0120093325
10573,41.01676,-73.67735,86.3269702,91.28746929,30.50954955,73.61273981
10576,41.21323,-73.57289,77.551953,39.16461916,33.42954955,56.9245186775
10577,41.03755,-73.71349,64.24223047,100.0,32.58954955,65.2685026225
10578,41.31815,-73.673,89.81702473,76.11691428,32.94954955,72.1751283225
10579,41.39651,-73.83384,90.58280552,74.40250168,32.80954955,72.0944155675
10580,40.97854,-73.69258,63.79128643,73.80059485,33.28954955,58.668179315
10583,40.98916,-73.79443,75.77735881,63.28255528,33.36954955,62.0517056125
10588,41.33222,-73.82624,90.64694574,100.0,32.64954955,78.48586025750001
10589,41.33178,-73.6933,89.5027596,67.47822202,33.26954955,69.93832269250001
10590,41.25421,-73.53719,85.31597464,54.65075465,33.34954955,64.65806337
10591,41.08436,-73.84653,86.08359012,78.5472973,47.07975091,74.4485571125
10594,41.11579,-73.771,85.72051248,76.9041769,32.90954955,70.3136878525
10595,41.08626,-73.78097,86.30313279,69.1031941,32.5075504,68.55425252
10596,41.25552,-73.95854,92.59269343,76.11691428,32.56954955,73.4679626725
10597,41.29423,-73.59703,74.47389883,76.11691428,33.46954955,64.6335653725
10598,41.28309,-73.79516,89.03322089,69.76441682,32.98954955,70.2051020375
10601,41.03288,-73.7648,93.01100133,80.90558091,70.51928147,84.36171626000001
10603,41.05364,-73.78014,89.60667142,82.01474201,32.32954955,73.38940860000001
10604,41.06013,-73.73955,85.07615965,80.94458094,32.14954955,70.8116124475
10605,41.0095,-73.74518,84.1925099,78.29912023,32.52954955,69.803422395
10606,41.02065,-73.77588,87.65775255,89.17028917,30.98954955,73.868835955
10607,41.03949,-73.81214,87.17219033,83.64976547,32.12954955,72.53092391999999
10701,40.94702,-73.88034,90.56726906,90.01005137,29.06778363,75.05309328
10703,40.95765,-73.88114,90.53899362,90.86814087,31.06954955,75.753919415
10704,40.91911,-73.86187,89.81003144,80.8912218,32.04954955,73.1402085575
10705,40.91929,-73.88928,89.11424202,93.54299754,30.14954955,75.4802577825
10706,40.99047,-73.86951,83.03611558,56.81818182,33.28954955,64.0449906325
10707,40.95961,-73.82291,85.748039,72.39222694,32.88954955,69.1944636225
10708,40.9379,-73.83167,84.80256305,68.84520885,32.92954955,67.844971125
10709,40.95337,-73.80885,84.3793526,74.67397467,33.02954955,69.115557355
10710,40.96732,-73.84739,88.22437784,81.210397,32.30954955,72.4921755575
10801,40.91751,-73.78396,87.88988269,87.47911548,30.96954955,73.5571076025
10803,40.89978,-73.80619,78.57879833,75.39487539,33.02954955,66.3955054
10804,40.94914,-73.78629,80.58789909,65.89102471,33.30954955,65.09409310999999
10805,40.89593,-73.78028,91.30216056,89.17224434,31.48954955,75.8165287525
10901,41.14554,-74.12504,87.76278769,75.56101556,47.70856577,74.6987891775
10910,41.2773,-74.13625,92.87348038,76.11691428,0.0,65.46596876000001
10911,41.30798,-73.99243,92.87348038,76.11691428,0.0,65.46596876000001
10913,41.06845,-73.95574,87.38116623,69.04176904,32.72954955,69.1334127625
10914,41.41671,-74.20087,90.25182177,76.11691428,32.60954955,72.30752684250001
10915,41.54022,-74.35714,92.87348038,76.11691428,32.56954955,73.6083561475
10916,41.44881,-74.24311,90.73135988,77.2972973,32.74954955,72.8773916525
10917,41.31851,-74.11094,91.24208439,76.11691428,32.72954955,72.8326581525
10918,41.34816,-74.25828,91.97489221,71.78542179,32.48954955,72.05618894
10919,41.52836,-74.38327,92.74846366,100.0,32.24954955,79.4366192175
10920,41.15477,-73.9393,89.64374109,80.55458055,32.68954955,73.13290307
10921,41.3292,-74.3651,92.97371338,89.18918919,32.56954955,76.926541375
10922,41.32794,-73.99604,93.14401854,76.11691428,32.66954955,73.76862522750001
10923,41.20265,-74.00031,90.55386398,90.17199017,31.38954955,75.66731692
10924,41.3788,-74.3512,91.42518861,63.94907304,32.40954955,69.8022499525
10925,41.20076,-74.29535,93.92451472,61.83456183,32.50954955,70.54828520500001
10926,41.25856,-74.1307,94.59315555,83.41523342,32.20954955,76.2027735175
10927,41.19263,-73.96735,93.11159018,87.37100737,29.50954955,75.77593431999999
10928,41.3457,-74.00265,93.73847839,100.0,32.46954955,79.98662658250001
10930,41.3667,-74.11035,91.69557577,73.62817363,32.62954955,72.41221868
10931,41.12769,-74.17012,92.646237,76.11691428,31.78954955,73.29973445750001
10932,41.482,-74.46352,92.87348038,76.11691428,32.66954955,73.63335614750001
10933,41.36527,-74.51106,92.87348038,76.11691428,32.62954955,73.6233561475
10940,41.45149,-74.46997,94.17526584,88.16102816,43.38953242,79.97527306500001
10941,41.48923,-74.34556,93.29530799,83.22218322,31.98954955,75.45058718749999
10950,41.31919,-74.19825,91.6499165,67.25634726,31.86954955,70.6064324525
10952,41.11385,-74.07975,82.25131155,33.64127764,31.64954955,57.448362572499995
10953,41.40581,-74.07783,92.87348038,76.11691428,33.20954955,73.76835614750001
10954,41.09969,-74.01269,90.21458848,79.42074306,32.34954955,73.0498673925
10956,41.15562,-73.99314,87.42818713,65.65369197,32.90954955,68.354903945
10958,41.3764,-74.42881,92.69355927,64.61916462,32.56954955,70.6439581775
10960,41.08892,-73.92642,88.11321993,66.70039023,39.8381472,70.6912443225
10962,41.04857,-73.96057,88.37622905,79.79115479,32.58954955,72.28329061000001
10963,41.4669,-74.54121,93.61798504,100.0,31.48954955,79.6813799075
10964,41.01642,-73.91431,85.02089549,76.11691428,32.94954955,69.7770637025
10965,41.06176,-74.01286,88.79700861,77.29212466,32.74954955,71.9089228575
10968,41.03976,-73.91804,87.33486935,59.70515971,32.96954955,66.83611199
10969,41.292,-74.48879,92.85712006,76.11691428,32.76954955,73.6501759875
10970,41.1852,-74.06568,88.68510161,70.96642097,31.92954955,70.066543435
10973,41.38442,-74.47566,92.03734345,65.6019656,32.58954955,70.5665505125
10974,41.15826,-74.18993,91.58276604,88.99262899,32.66954955,76.206927655
10975,41.25951,-74.17042,92.87348038,76.11691428,33.00954955,73.7183561475
10976,41.02871,-73.92594,88.5213508,76.11691428,32.58954955,71.4372913575
10977,41.11749,-74.04825,86.44658081,77.93781242,30.50954955,70.3351308975
10979,41.18237,-74.31877,92.87348038,76.11691428,32.64954955,73.62835614750001
10980,41.23157,-74.05709,89.90726436,80.93366093,32.46954955,73.3044348
10983,41.02747,-73.94826,88.42636426,67.93611794,32.78954955,69.3945990025
10984,41.20928,-74.02008,88.35374427,100.0,32.48954955,77.2992595225
10985,41.57697,-74.35782,92.87348038,76.11691428,32.84954955,73.67835614750001
10986,41.27917,-73.99445,89.08683503,100.0,32.64954955,77.7058049025
10987,41.20737,-74.22284,78.94401936,72.85012285,33.06954955,65.95192777999999
10988,41.30133,-74.56218,95.19810757,76.11691428,32.70954955,74.80566974250002
10989,41.12479,-73.93632,89.95040964,74.48812449,32.68954955,71.76962333
10990,41.2651,-74.3663,91.30589282,61.88136188,68.58538304,78.26963264
10992,41.42648,-74.16567,92.03355914,85.61536743,32.52954955,75.553008815
10993,41.21011,-73.97565,93.45819879,100.0,48.67443066,83.89770705999999
10994,41.09702,-73.97322,87.50724564,75.60866652,32.94954955,70.8931768375
10996,41.38996,-73.97257,92.87348038,76.11691428,32.56954955,73.6083561475
10998,41.33118,-74.53989,91.72390766,76.16707617,32.66954955,73.07111026
11001,40.72356,-73.70451,86.45563183,70.31941032,32.52954955,68.9400558825
11003,40.70143,-73.7078,88.63914553,89.90898709,31.70954955,74.724206925
11004,40.74621,-73.71147,90.50212275,55.54715555,32.26954955,67.20523765
11005,40.75661,-73.71424,92.87348038,100.0,32.94954955,79.6741275775
11010,40.70066,-73.67514,87.09291796,70.10647011,32.40954955,69.175463895
11020,40.77098,-73.71293,72.28989588,28.25552826,32.86954955,51.42621739250001
11021,40.78644,-73.7289,82.56951718,33.56265356,33.00954955,57.927809367500004
11023,40.7994,-73.73282,76.20485833,18.05896806,32.88954955,50.8395585675
11024,40.81642,-73.74205,70.33153149,42.56756757,32.58954955,53.955045025000004
11030,40.79293,-73.68868,64.55737113,32.95893296,59.68458084,55.439564015
11040,40.74572,-73.67979,84.65310802,55.83065583,45.36421408,67.6252714875
11042,40.75854,-73.6975,92.87348038,76.11691428,32.94954955,73.70335614750002
11050,40.83815,-73.69113,78.94767855,67.32786001,32.64954955,64.468191665
11096,40.62143,-73.75292,87.51838591,96.83319683,29.96954955,75.45987955000001
11101,40.74679,-73.93916,81.55846366,75.86796282,30.88954955,67.46860992250001
11102,40.77161,-73.92619,88.80719656,78.33043687,31.36954955,71.828594885
11103,40.76261,-73.91334,82.95822054,79.03357903,31.74954955,69.174892415
11104,40.74484,-73.92049,91.83914756,73.97162558,31.50954955,72.28986756249999
11105,40.779,-73.90652,81.5761986,70.01128893,31.94954955,66.27830892
11106,40.76191,-73.93169,89.69604987,72.73844092,31.46954955,70.9000225525
11109,40.7463,-73.95699,92.87348038,44.96314496,32.82954955,65.8849138175
11201,40.69477,-73.99031,77.48772462,59.91713639,24.47690139,59.842371754999995
11203,40.64958,-73.93431,88.39033895,93.69369369,24.47094366,73.7363288125
11204,40.61883,-73.98496,80.12720297,67.48427935,31.20954955,64.73705871
