zip_code,lat,lng,housing_score,tax_score,healthcare_score,overall_score,borough,transit_score,social_score,grocery_score,data_quality,rental_count
10033,40.84744,-73.93549,90,86.42717953,30.04954955,74,Manhattan,0,0,0,Housing Only,0
10034,40.86749,-73.92358,92,85.50998551,29.82954955,75,Manhattan,0,0,0,Housing Only,0
10035,40.79538,-73.92965,88,91.30370039,29.48954955,74,Manhattan,0,0,0,Housing Only,0
10036,40.75976,-73.99064,83,62.66941428,32.70954955,65,Manhattan,0,0,0,Housing Only,0
10037,40.81302,-73.93776,90,91.53279153,28.05794497,75,Manhattan,0,0,0,Housing Only,0
10038,40.70914,-74.00298,92,68.17064999,32.20954955,71,Manhattan,0,0,0,Housing Only,0
10039,40.82631,-73.93752,89,94.4963145,30.66954955,76,Manhattan,0,0,0,Housing Only,0
10040,40.85807,-73.9296,91,85.07371007,29.86954955,74,Manhattan,0,0,0,Housing Only,0
10044,40.76209,-73.94981,84,76.68081304,32.72954955,69,Manhattan,0,0,0,Housing Only,0
10065,40.76472,-73.96332,73,65.89316589,67.06834404,69,Manhattan,0,0,0,Housing Only,0
10069,40.77752,-73.98875,67,61.58886159,33.14954955,57,Manhattan,0,0,0,Housing Only,0
10075,40.77342,-73.95642,80,66.64619165,58.00604564,71,Manhattan,0,0,0,Housing Only,0
10103,40.76078,-73.97767,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10110,40.7545,-73.98226,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10111,40.75953,-73.97858,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10112,40.75891,-73.97904,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10115,40.81085,-73.96374,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10119,40.75064,-73.99273,92,76.11691428,32.82954955,73,Manhattan,0,0,0,Housing Only,0
10128,40.78151,-73.95018,80,65.43538916,33.16954955,64,Manhattan,0,0,0,Housing Only,0
10152,40.75872,-73.9718,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10153,40.76362,-73.97244,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10154,40.75778,-73.97249,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10162,40.76936,-73.94986,92,76.11691428,33.38954955,73,Manhattan,0,0,0,Housing Only,0
10165,40.75213,-73.97872,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10167,40.75465,-73.97477,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10168,40.75145,-73.9771,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10169,40.75467,-73.97643,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10170,40.75263,-73.97588,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10171,40.7559,-73.97386,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10172,40.75527,-73.97431,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10173,40.75379,-73.97961,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10174,40.75144,-73.975,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10177,40.75498,-73.97589,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10199,40.75138,-73.99715,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10271,40.70844,-74.01033,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10278,40.71513,-74.00373,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10279,40.71263,-74.00867,92,76.11691428,0.0,65,Manhattan,0,0,0,Housing Only,0
10280,40.70985,-74.01651,87,66.09336609,33.34954955,68,Manhattan,0,0,0,Housing Only,0
10282,40.71655,-74.01495,64,68.67321867,33.20954955,57,Manhattan,0,0,0,Housing Only,0
10301,40.62803,-74.09564,88,81.64044121,31.62954955,72,Staten Island,0,0,0,Housing Only,0
10302,40.63055,-74.13776,90,93.41523342,30.72954955,76,Staten Island,0,0,0,Housing Only,0
10303,40.63223,-74.16903,91,90.30958231,30.68954955,76,Staten Island,0,0,0,Housing Only,0
10304,40.60671,-74.0931,89,69.14004914,31.24954955,69,Staten Island,0,0,0,Housing Only,0
10305,40.59592,-74.07539,88,63.43616344,24.52721659,66,Staten Island,0,0,0,Housing Only,0
10306,40.57149,-74.1243,88,70.4310371,32.28954955,69,Staten Island,0,0,0,Housing Only,0
10307,40.50817,-74.24254,86,78.32056656,32.60954955,71,Staten Island,0,0,0,Housing Only,0
10308,40.55213,-74.15029,88,79.31203931,32.68954955,72,Staten Island,0,0,0,Housing Only,0
10309,40.53001,-74.21912,87,75.49854294,32.54954955,70,Staten Island,0,0,0,Housing Only,0
10310,40.63243,-74.11653,89,82.8009828,26.25742977,71,Staten Island,0,0,0,Housing Only,0
10311,40.60523,-74.17956,92,76.11691428,0.0,65,Staten Island,0,0,0,Housing Only,0
10312,40.54489,-74.18084,88,75.13034098,32.62954955,71,Staten Island,0,0,0,Housing Only,0
10314,40.60086,-74.16306,88,72.95460286,32.28954955,70,Staten Island,0,0,0,Housing Only,0
10451,40.82097,-73.92383,95,95.21308142,21.67812059,76,Bronx,0,0,0,Housing Only,0
10452,40.8378,-73.92333,95,96.05666272,28.96954955,78,Bronx,0,0,0,Housing Only,0
10453,40.85248,-73.9133,90,96.84925567,28.96954955,76,Bronx,0,0,0,Housing Only,0
10454,40.8056,-73.91664,86,96.80589681,28.24954955,74,Bronx,0,0,0,Housing Only,0
10455,40.8148,-73.90862,92,97.12350932,28.48954955,77,Bronx,0,0,0,Housing Only,0
10456,40.83064,-73.90812,93,96.41394641,19.15043682,75,Bronx,0,0,0,Housing Only,0
10457,40.84571,-73.89794,92,96.00903114,19.50377388,74,Bronx,0,0,0,Housing Only,0
10458,40.86249,-73.88643,93,95.14449514,29.26954955,77,Bronx,0,0,0,Housing Only,0
10459,40.82572,-73.89295,91,95.11608083,28.86954955,76,Bronx,0,0,0,Housing Only,0
10460,40.84273,-73.87891,91,94.68779124,28.92954955,76,Bronx,0,0,0,Housing Only,0
10461,40.84671,-73.84079,88,86.004186,23.02466264,71,Bronx,0,0,0,Housing Only,0
10462,40.84297,-73.85873,96,88.82063882,30.78954955,78,Bronx,0,0,0,Housing Only,0
10463,40.88841,-73.89905,94,81.55844156,30.98954955,75,Bronx,0,0,0,Housing Only,0
10464,40.86821,-73.80044,89,83.29238329,32.68954955,73,Bronx,0,0,0,Housing Only,0
